trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
76,False,"{'a': 0.7, 'e': 0.4658807751697934}",25,0,-75.82658079385246,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
77,False,"{'a': 0.7, 'e': 0.4612219674180955}",20,8,-119.9989207201055,"{0: 6, 1: 0, 2: 3, 3: 1, 4: 2}",1
78,False,"{'a': 0.7, 'e': 0.45660974774391455}",30,4,-66.34107069064389,"{0: 17, 1: 1, 2: 7, 3: 1, 4: 0}",1
79,False,"{'a': 0.7, 'e': 0.4520436502664754}",20,0,-12.862404617369599,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
80,False,"{'a': 0.7, 'e': 0.44752321376381066}",25,7,-78.30309046471432,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 1}",1
81,False,"{'a': 0.7, 'e': 0.44304798162617254}",25,11,-0.9818160534130407,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
82,False,"{'a': 0.7, 'e': 0.4386175018099108}",20,7,-45.518720072117944,"{0: 10, 1: 0, 2: 0, 3: 3, 4: 0}",1
83,False,"{'a': 0.7, 'e': 0.4342313267918117}",25,0,-26.244714163092294,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
84,False,"{'a': 0.7, 'e': 0.4298890135238936}",20,6,7.905540798235735,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
85,False,"{'a': 0.7, 'e': 0.42559012338865465}",20,0,-70.18240340620268,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
86,False,"{'a': 0.7, 'e': 0.4213342221547681}",25,13,-32.70181580904368,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
87,False,"{'a': 0.7, 'e': 0.41712087993322045}",30,0,-129.28543925649933,"{0: 20, 1: 2, 2: 6, 3: 0, 4: 2}",0
88,False,"{'a': 0.7, 'e': 0.41294967113388825}",30,10,-58.65999181732928,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",1
89,False,"{'a': 0.7, 'e': 0.40882017442254937}",25,15,-31.81471527645916,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
90,False,"{'a': 0.7, 'e': 0.4047319726783239}",20,3,-41.42586547124567,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 1}",1
91,False,"{'a': 0.7, 'e': 0.40068465295154065}",20,0,-54.718721175556276,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
92,False,"{'a': 0.7, 'e': 0.39667780642202527}",25,20,7.523069217852348,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.7, 'e': 0.392711028357805}",20,0,-37.87681305879339,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
94,False,"{'a': 0.7, 'e': 0.38878391807422696}",30,12,-2.718084158871029,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
95,False,"{'a': 0.7, 'e': 0.3848960788934847}",25,14,8.053610438939087,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.7, 'e': 0.38104711810454983}",30,7,-63.694959141198346,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 1}",1
97,False,"{'a': 0.7, 'e': 0.37723664692350434}",30,0,-27.585832277767445,"{0: 26, 1: 1, 2: 2, 3: 0, 4: 1}",0
98,False,"{'a': 0.7, 'e': 0.37346428045426927}",30,1,-37.95112266737977,"{0: 25, 1: 1, 2: 1, 3: 1, 4: 1}",1
99,False,"{'a': 0.7, 'e': 0.36972963764972655}",25,12,-0.40677077138078,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
100,False,"{'a': 0.7, 'e': 0.36603234127322926}",20,0,-2.9116858740278726,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
101,False,"{'a': 0.7, 'e': 0.36237201786049694}",25,20,7.68678299939317,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.7, 'e': 0.358748297681892}",20,5,2.2843248832743708,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
103,False,"{'a': 0.7, 'e': 0.35516081470507305}",25,0,-81.81319766814079,"{0: 18, 1: 0, 2: 4, 3: 3, 4: 0}",0
104,False,"{'a': 0.7, 'e': 0.3516092065580223}",20,0,14.262445550704411,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
105,False,"{'a': 0.7, 'e': 0.34809311449244207}",20,9,16.52451581575191,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.7, 'e': 0.34461218334751764}",35,18,-18.78493207418986,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
107,False,"{'a': 0.7, 'e': 0.34116606151404244}",25,12,5.06472007751155,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.7, 'e': 0.337754400898902}",25,0,-6.028744805418071,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
109,False,"{'a': 0.7, 'e': 0.334376856889913}",20,4,-12.12217356720982,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
110,False,"{'a': 0.7, 'e': 0.33103308832101386}",20,16,6.36373704095501,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.7, 'e': 0.3277227574378037}",20,1,-42.254384968656346,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
112,False,"{'a': 0.7, 'e': 0.3244455298634257}",25,1,2.0663219196940252,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 0}",1
113,False,"{'a': 0.7, 'e': 0.3212010745647914}",25,3,-51.355345742791336,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 1}",1
114,False,"{'a': 0.7, 'e': 0.3179890638191435}",25,0,33.12382872021678,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
115,False,"{'a': 0.7, 'e': 0.31480917318095203}",20,16,8.62803105968564,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.7, 'e': 0.3116610814491425}",30,19,2.6326932848495312,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.7, 'e': 0.30854447063465107}",30,20,5.529670304608651,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.7, 'e': 0.30545902592830454}",35,24,-3.1480979143340777,"{0: 7, 1: 4, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.7, 'e': 0.3024044356690215}",25,14,4.438650217689901,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.7, 'e': 0.29938039131233124}",25,1,-40.95630488609811,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 1}",1
121,False,"{'a': 0.7, 'e': 0.2963865873992079}",25,17,15.392879399683103,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.7, 'e': 0.29342272152521587}",30,19,-34.40802923179462,"{0: 8, 1: 0, 2: 1, 3: 2, 4: 0}",1
123,False,"{'a': 0.7, 'e': 0.2904884943099637}",20,10,0.19143493164462,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.7, 'e': 0.28758360936686406}",20,0,19.655140662200473,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
125,False,"{'a': 0.7, 'e': 0.2847077732731954}",20,0,-0.8368896500178542,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
126,False,"{'a': 0.7, 'e': 0.28186069554046345}",25,11,12.63650481704281,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.7, 'e': 0.2790420885850588}",35,19,-15.38959579902536,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 0}",1
128,False,"{'a': 0.7, 'e': 0.2762516676992082}",20,1,-18.50165718803783,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
129,False,"{'a': 0.7, 'e': 0.27348915102221616}",30,21,10.241944779029232,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.7, 'e': 0.270754259511994}",25,13,6.338772270558782,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.7, 'e': 0.26804671691687404}",30,11,-36.97149840451681,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 0}",1
132,False,"{'a': 0.7, 'e': 0.2653662497477053}",25,11,-19.361585188136104,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
133,False,"{'a': 0.7, 'e': 0.2627125872502282}",20,0,20.865676493522873,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
134,False,"{'a': 0.7, 'e': 0.2600854613777259}",20,0,25.938427916486688,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
135,False,"{'a': 0.7, 'e': 0.2574846067639487}",25,14,-5.18538031127288,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
136,False,"{'a': 0.7, 'e': 0.2549097606963092}",25,8,-23.69040493731312,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
137,False,"{'a': 0.7, 'e': 0.2523606630893461}",25,17,-29.768513034888368,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
138,False,"{'a': 0.7, 'e': 0.24983705645845267}",25,4,-25.997099143046576,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 1}",1
139,False,"{'a': 0.7, 'e': 0.24733868589386815}",25,2,-5.124852159212875,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 0}",1
140,False,"{'a': 0.7, 'e': 0.24486529903492946}",20,14,9.397321004172763,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.7, 'e': 0.24241664604458016}",30,19,13.586598799505069,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.7, 'e': 0.23999247958413436}",25,4,-73.16599736352605,"{0: 17, 1: 0, 2: 0, 3: 3, 4: 1}",1
143,False,"{'a': 0.7, 'e': 0.23759255478829303}",20,14,-2.3394903072795996,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.7, 'e': 0.2352166292404101}",25,16,9.419544328946074,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.7, 'e': 0.232864462948006}",30,17,21.927369068733427,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.7, 'e': 0.23053581831852593}",20,11,-25.494804463711958,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
147,False,"{'a': 0.7, 'e': 0.22823046013534068}",20,7,-41.33457561908417,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 1}",1
148,False,"{'a': 0.7, 'e': 0.22594815553398728}",20,0,-65.12128115337714,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
149,False,"{'a': 0.7, 'e': 0.22368867397864742}",20,10,11.768168816183108,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.7, 'e': 0.22145178723886094}",30,11,5.575109836045119,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
151,False,"{'a': 0.7, 'e': 0.21923726936647234}",35,9,2.654269586744501,"{0: 23, 1: 1, 2: 1, 3: 1, 4: 0}",1
152,False,"{'a': 0.7, 'e': 0.2170448966728076}",25,17,17.20687643386319,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.7, 'e': 0.21487444770607952}",30,0,-36.37224237523704,"{0: 25, 1: 2, 2: 2, 3: 0, 4: 1}",0
154,False,"{'a': 0.7, 'e': 0.21272570322901874}",30,5,11.404748483808946,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",1
