trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
148,False,"{'a': 0.7, 'e': 0.22594815553398728}",30,0,-50.32358188774006,"{0: 26, 1: 0, 2: 2, 3: 1, 4: 1}",0
149,False,"{'a': 0.7, 'e': 0.22368867397864742}",20,0,-9.610313008160787,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
150,False,"{'a': 0.7, 'e': 0.22145178723886094}",25,0,23.85429412040432,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
151,False,"{'a': 0.7, 'e': 0.21923726936647234}",30,20,21.822374285152492,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.7, 'e': 0.2170448966728076}",20,2,16.64725327516985,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.7, 'e': 0.21487444770607952}",20,5,-59.45399268142606,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 2}",1
154,False,"{'a': 0.7, 'e': 0.21272570322901874}",20,13,-37.774136649553746,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 1}",1
155,False,"{'a': 0.7, 'e': 0.21059844619672854}",25,14,-27.377285450819777,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
156,False,"{'a': 0.7, 'e': 0.20849246173476127}",20,11,-6.426046639917033,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
157,False,"{'a': 0.7, 'e': 0.20640753711741366}",25,13,-62.335601172523276,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
158,False,"{'a': 0.7, 'e': 0.20434346174623952}",20,8,15.631409230561037,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.7, 'e': 0.20230002712877712}",30,0,-60.75327000407693,"{0: 26, 1: 0, 2: 2, 3: 0, 4: 2}",0
160,False,"{'a': 0.7, 'e': 0.20027702685748935}",25,0,19.7049464618197,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
161,False,"{'a': 0.7, 'e': 0.19827425658891445}",30,15,-15.823600523592575,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
162,False,"{'a': 0.7, 'e': 0.1962915140230253}",30,4,-26.030545636702364,"{0: 21, 1: 0, 2: 4, 3: 1, 4: 0}",1
163,False,"{'a': 0.7, 'e': 0.19432859888279505}",20,16,6.237213335628637,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.7, 'e': 0.1923853128939671}",20,13,6.7603463500505345,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.7, 'e': 0.19046145976502743}",20,14,11.410668953385771,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.7, 'e': 0.18855684516737714}",30,14,-35.16365066914659,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 1}",1
167,False,"{'a': 0.7, 'e': 0.18667127671570335}",25,9,6.230147309682453,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
168,False,"{'a': 0.7, 'e': 0.18480456394854633}",20,6,7.7740827958441425,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.7, 'e': 0.18295651830906087}",25,9,16.244474091031346,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.7, 'e': 0.18112695312597027}",20,3,11.858603811521187,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.7, 'e': 0.17931568359471056}",25,20,11.803313618098674,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.7, 'e': 0.17752252675876345}",20,7,24.008004723148208,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.7, 'e': 0.17574730149117582}",25,0,19.280318589083038,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
174,False,"{'a': 0.7, 'e': 0.17398982847626407}",25,17,3.9482013415679136,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.7, 'e': 0.17224993019150142}",25,8,25.43692083483757,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.7, 'e': 0.1705274308895864}",20,0,-36.88939545293384,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
177,False,"{'a': 0.7, 'e': 0.16882215658069055}",30,13,14.718386324794729,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.7, 'e': 0.16713393501488363}",30,22,11.171952691784803,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.7, 'e': 0.16546259566473479}",25,8,-11.170268478047875,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
180,False,"{'a': 0.7, 'e': 0.16380796970808745}",30,17,19.784073608679822,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.7, 'e': 0.16216989001100657}",25,5,9.602791590085653,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
182,False,"{'a': 0.7, 'e': 0.1605481911108965}",30,11,20.979864727648305,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
183,False,"{'a': 0.7, 'e': 0.15894270919978754}",20,0,-9.803243750166168,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
184,False,"{'a': 0.7, 'e': 0.15735328210778965}",20,9,-21.643714281623055,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
185,False,"{'a': 0.7, 'e': 0.15577974928671176}",25,0,31.100259787363957,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
186,False,"{'a': 0.7, 'e': 0.15422195179384465}",25,16,-2.1843891138128226,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
187,False,"{'a': 0.7, 'e': 0.1526797322759062}",25,14,10.033831675100705,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
188,False,"{'a': 0.7, 'e': 0.15115293495314713}",20,0,3.4250113318457025,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
189,False,"{'a': 0.7, 'e': 0.14964140560361566}",25,7,5.75965156369315,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
190,False,"{'a': 0.7, 'e': 0.1481449915475795}",20,13,8.916114017578174,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.7, 'e': 0.1466635416321037}",30,6,-76.06205431139162,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 2}",1
192,False,"{'a': 0.7, 'e': 0.14519690621578268}",20,0,4.534742085714148,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
193,False,"{'a': 0.7, 'e': 0.14374493715362485}",25,10,11.770648396686955,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
194,False,"{'a': 0.7, 'e': 0.1423074877820886}",20,9,13.443894198551632,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.7, 'e': 0.1408844129042677}",30,17,-31.820471009980555,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
196,False,"{'a': 0.7, 'e': 0.13947556877522502}",25,10,-21.81406622031903,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
197,False,"{'a': 0.7, 'e': 0.13808081308747278}",25,17,14.631993800670392,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.7, 'e': 0.13670000495659804}",20,9,-2.2054329563876003,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
199,False,"{'a': 0.7, 'e': 0.13533300490703207}",20,0,-59.05486280296191,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
200,False,"{'a': 0.7, 'e': 0.13397967485796175}",20,15,-3.34973214472239,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
201,False,"{'a': 0.7, 'e': 0.13263987810938213}",20,0,-21.29238925745137,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
202,False,"{'a': 0.7, 'e': 0.1313134793282883}",20,7,24.8189054307248,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.7, 'e': 0.13000034453500542}",30,3,36.25293894632283,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
204,False,"{'a': 0.7, 'e': 0.12870034108965536}",25,8,7.187336040880035,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
205,False,"{'a': 0.7, 'e': 0.12741333767875881}",30,18,-19.336752217536144,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
206,False,"{'a': 0.7, 'e': 0.12613920430197123}",25,0,-26.714063829622837,"{0: 22, 1: 0, 2: 1, 3: 2, 4: 0}",0
207,False,"{'a': 0.7, 'e': 0.12487781225895152}",30,9,26.72609196522841,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.7, 'e': 0.123629034136362}",25,15,17.28854425413609,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.7, 'e': 0.12239274379499838}",25,13,-10.93111531486713,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
